_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
0,0.550205356,1778816694.4423923,1,0.6820824146270752,0.6820652484893799,1.7184134776471183e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.618957636,1778816694.5115325,2,0.6808685064315796,0.6808510422706604,1.7482525436207652e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.702352541,1778816694.5945096,3,0.6795766353607178,0.6795588731765747,1.7788694094633684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.809439439,1778816694.7019496,4,0.6785544157028198,0.6785362958908081,1.8116563296644017e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.899579472,1778816694.7919576,5,0.6770246624946594,0.677006185054779,1.8458114936947823e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.988820993,1778816694.881228,6,0.6755370497703552,0.675518274307251,1.880441232060548e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.077757577,1778816694.9704683,7,0.6739951372146606,0.673975944519043,1.9179760784027167e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.16688555,1778816695.0594804,8,0.6721926331520081,0.672173023223877,1.9582170352805406e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.258615051,1778816695.1509776,9,0.6705285906791687,0.670508623123169,1.998540392378345e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.348439396,1778816695.2406192,10,0.6687373518943787,0.6687169075012207,2.0423089154064655e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.438184221,1778816695.330733,11,0.6664068102836609,0.6663859486579895,2.0865732949459925e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.5278297840000001,1778816695.420088,12,0.6645528674125671,0.6645315289497375,2.1343152184272185e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.61777577,1778816695.5102978,13,0.6619965434074402,0.6619746685028076,2.1854371880181134e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.708725659,1778816695.6011806,14,0.6595428586006165,0.6595205068588257,2.2361402443493716e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.796501345,1778816695.6887896,15,0.6572133302688599,0.6571904420852661,2.2871314286021516e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.871318641,1778816695.7638783,16,0.6543738842010498,0.6543504595756531,2.342258085263893e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.967815278,1778816695.8603296,17,0.6511015892028809,0.6510775685310364,2.4005719751585275e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.057090335,1778816695.9497273,18,0.6482007503509521,0.6481761336326599,2.4593713533249684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.146642735,1778816696.0391135,19,0.6447404026985168,0.6447151899337769,2.5223363991244696e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.23782833,1778816696.1302137,20,0.6410101652145386,0.640984296798706,2.5874656785163097e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13.028376725,1778816706.9193473,20,,,,0.001684120623394847,0.007208024151623249,0.011770450510084629,0.037413544952869415,0.06551653891801834,0.009041591547429562,0.006871610414236784,0.005786616820842028,0.00669077318161726,0.00488245626911521,0.009041591547429562,0.008756889030337334,0.01010342687368393,0.018367230892181396,0.02654816396534443,0.001684120623394847,0.003860430559143424,0.004539700224995613,0.006291257217526436,0.0073288818821311,0.009041591547429562,0.017661241814494133,0.020945634692907333,0.026093117892742157,0.029581204056739807,0.009041591547429562,0.03435804694890976,0.057866185903549194,0.13381555676460266,0.2441229671239853
21,20.651391319,1778816714.5437624,21,0.6380577087402344,0.6380311250686646,2.659932943060994e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20.741416468,1778816714.6339452,22,0.6340028643608093,0.633975625038147,2.723641591728665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20.836371902,1778816714.728743,23,0.629734218120575,0.6297062635421753,2.797711749735754e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20.937909424,1778816714.830028,24,0.6260978579521179,0.6260691285133362,2.8726290111080743e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21.032514219,1778816714.9249566,25,0.6209734082221985,0.6209439039230347,2.9504610211006366e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,21.122645465,1778816715.0149696,26,0.6164588332176208,0.6164284944534302,3.031834785360843e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21.21986792,1778816715.112218,27,0.6120737195014954,0.6120425462722778,3.1177623895928264e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21.310975449,1778816715.2033353,28,0.6055957078933716,0.6055636405944824,3.206028850399889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21.401278019,1778816715.2939038,29,0.6019612550735474,0.6019284129142761,3.287058279966004e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,21.492124376,1778816715.3845274,30,0.5960714817047119,0.5960376262664795,3.386773096281104e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21.582400504,1778816715.4748473,31,0.5908870697021484,0.5908522605895996,3.4799581044353545e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21.672510561,1778816715.564769,32,0.5836672782897949,0.5836313962936401,3.58666802640073e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,21.762627841,1778816715.6550922,33,0.5778340697288513,0.5777972340583801,3.684935290948488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,21.853507095,1778816715.7459867,34,0.5719020366668701,0.571864128112793,3.788025424000807e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,21.943821782,1778816715.8362286,35,0.5672496557235718,0.5672106742858887,3.896162525052205e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,22.032454982,1778816715.924728,36,0.5610881447792053,0.5610480308532715,4.0136350435204804e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,22.122010676,1778816716.0145147,37,0.5542648434638977,0.5542235374450684,4.128880027565174e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22.213168723,1778816716.1056497,38,0.5457109212875366,0.5456684827804565,4.2424147977726534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,22.305077665,1778816716.1974065,39,0.5397064685821533,0.5396628379821777,4.363921470940113e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,22.401489082,1778816716.2937846,40,0.5370275974273682,0.5369826555252075,4.496449764701538e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,33.289263167,1778816727.1806612,40,,,,0.001684120623394847,0.0076644872315227985,0.012949435040354729,0.027825739234685898,0.05478828027844429,0.009041591547429562,0.0057866196148097515,0.005786616820842028,0.005605783313512802,0.00426762830466032,0.009041591547429562,0.007766665890812874,0.009726394899189472,0.014973373152315617,0.02264556847512722,0.001684120623394847,0.003499973565340042,0.004200603812932968,0.005296438466757536,0.006287320517003536,0.009041591547429562,0.015009040012955666,0.018723266199231148,0.022609768435359,0.025722531601786613,0.009041591547429562,0.028933092951774597,0.057866185903549194,0.11211573332548141,0.2133815586566925
42,39.682581963,1778816733.5744603,41,0.5269285440444946,0.5268822908401489,4.6226523409131914e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
