_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
0,0.583742592,1778817094.3768914,1,0.6821280717849731,0.6821109056472778,1.7152911823359318e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.677546002,1778817094.4711347,2,0.6809480786323547,0.6809306144714355,1.7474587366450578e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.767416975,1778817094.5610514,3,0.6798827648162842,0.6798650026321411,1.7780599591787905e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.844693987,1778817094.6382182,4,0.6783544421195984,0.6783363223075867,1.809115565265529e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.92014725,1778817094.7137237,5,0.6770524978637695,0.6770340800285339,1.8427788745611906e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.996149755,1778817094.789595,6,0.6758469343185425,0.6758281588554382,1.879535921034403e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.071021216,1778817094.8644779,7,0.6737796664237976,0.6737604737281799,1.9175693523720838e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.144143634,1778817094.9379542,8,0.6723814606666565,0.6723619103431702,1.9559294742066413e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.216546268,1778817095.0101547,9,0.6704017519950867,0.6703817844390869,1.9969877030234784e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.286734005,1778817095.0805216,10,0.6682536602020264,0.6682332754135132,2.0404610040714033e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.361143803,1778817095.1547909,11,0.6663817167282104,0.6663608551025391,2.084760672005359e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.433207118,1778817095.2270265,12,0.6645485162734985,0.664527177810669,2.131147812178824e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.5072655830000001,1778817095.3009045,13,0.6618747115135193,0.6618528962135315,2.179762850573752e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.58144985,1778817095.3750837,14,0.6596375703811646,0.6596152782440186,2.2305219317786396e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.675663235,1778817095.4690342,15,0.6570432186126709,0.6570203900337219,2.28304215852404e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.7686296860000001,1778817095.5621781,16,0.6544183492660522,0.6543949246406555,2.3397766199195758e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.866382492,1778817095.6599486,17,0.6512081623077393,0.6511842012405396,2.3973405404831283e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.957281562,1778817095.7511146,18,0.647739827632904,0.6477152109146118,2.4600045435363427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.04819559,1778817095.8416355,19,0.644886314868927,0.6448611617088318,2.5181534510920756e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.138921879,1778817095.9324586,20,0.6408191919326782,0.6407933235168457,2.5851028112811036e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13.456266289,1778817107.2492945,20,,,,0.001684120623394847,0.005576310679316521,0.013303205370903015,0.029774654656648636,0.06411318480968475,0.009041591547429562,0.004701628349721432,0.005786616820842028,0.005696199834346771,0.004701624158769846,0.009041591547429562,0.006554493680596352,0.00975821353495121,0.0152328135445714,0.024758165702223778,0.001684120623394847,0.003053276101127267,0.004093088675290346,0.005278454162180424,0.006433201488107443,0.009041591547429562,0.013803495094180107,0.018339360132813454,0.022086549550294876,0.02571173384785652,0.009041591547429562,0.023508137091994286,0.057866185903549194,0.1139240488409996,0.23508137464523315
21,21.00917385,1778817114.8017435,21,0.6374362111091614,0.6374096870422363,2.6507188522373326e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21.113116263,1778817114.9061425,22,0.6337864398956299,0.6337592601776123,2.719970689213369e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21.225762386,1778817115.0189908,23,0.6292899250984192,0.6292619705200195,2.7981810490018688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21.319371753,1778817115.112633,24,0.6250125169754028,0.6249837875366211,2.8706361263175495e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
