_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/map@1,test/map@5,test/map@10,test/map@20,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20
0,0.609072916,1779094101.4027,1,0.6824893355369568,0.6823177337646484,0.00017162738367915154,,,,,,,,,,,,,,,,,,,,,,,,
1,0.673199745,1779094101.4672444,2,0.6812286972999573,0.6810539960861206,0.00017469409795012325,,,,,,,,,,,,,,,,,,,,,,,,
2,0.737634946,1779094101.53169,3,0.6798960566520691,0.6797184944152832,0.0001775794808054343,,,,,,,,,,,,,,,,,,,,,,,,
3,0.803866343,1779094101.5979311,4,0.678514301776886,0.6783334612846375,0.0001808579108910635,,,,,,,,,,,,,,,,,,,,,,,,
4,0.867306056,1779094101.6613748,5,0.6775685548782349,0.6773842573165894,0.0001843225909397006,,,,,,,,,,,,,,,,,,,,,,,,
5,0.933193411,1779094101.7272966,6,0.6760720610618591,0.6758843064308167,0.00018776499200612307,,,,,,,,,,,,,,,,,,,,,,,,
6,0.997775714,1779094101.7918513,7,0.674527645111084,0.6743360161781311,0.00019162865646649152,,,,,,,,,,,,,,,,,,,,,,,,
7,1.063631165,1779094101.857673,8,0.6729302406311035,0.6727347373962402,0.00019553273159544915,,,,,,,,,,,,,,,,,,,,,,,,
8,1.128062301,1779094101.9221427,9,0.6710752844810486,0.6708756685256958,0.0001996074861381203,,,,,,,,,,,,,,,,,,,,,,,,
9,1.1925487989999999,1779094101.9866247,10,0.669743001461029,0.6695390939712524,0.00020388139819260687,,,,,,,,,,,,,,,,,,,,,,,,
10,1.2614003710000001,1779094102.0555274,11,0.6677132844924927,0.6675047278404236,0.0002085621963487938,,,,,,,,,,,,,,,,,,,,,,,,
11,1.327716591,1779094102.1218057,12,0.6656495928764343,0.6654359698295593,0.000213594626984559,,,,,,,,,,,,,,,,,,,,,,,,
12,1.391956672,1779094102.186035,13,0.6634262204170227,0.6632075309753418,0.00021868750627618283,,,,,,,,,,,,,,,,,,,,,,,,
13,1.457359237,1779094102.251448,14,0.6617562770843506,0.6615325212478638,0.00022377798450179398,,,,,,,,,,,,,,,,,,,,,,,,
14,1.527970055,1779094102.3219368,15,0.659527063369751,0.6592978239059448,0.00022926315432414412,,,,,,,,,,,,,,,,,,,,,,,,
15,1.593401093,1779094102.3874838,16,0.6567717790603638,0.6565368175506592,0.00023497249640058726,,,,,,,,,,,,,,,,,,,,,,,,
16,1.6592303290000001,1779094102.4533236,17,0.6545687317848206,0.6543278694152832,0.00024085017503239214,,,,,,,,,,,,,,,,,,,,,,,,
17,1.724142279,1779094102.518209,18,0.6521464586257935,0.651899516582489,0.00024694681633263826,,,,,,,,,,,,,,,,,,,,,,,,
18,1.7896431339999999,1779094102.5837245,19,0.6496651768684387,0.6494117975234985,0.00025340516003780067,,,,,,,,,,,,,,,,,,,,,,,,
19,1.8551777870000001,1779094102.6492667,20,0.6469720005989075,0.6467118859291077,0.0002601429296191782,,,,,,,,,,,,,,,,,,,,,,,,
20,1.920703764,1779094102.7148,21,0.6441084742546082,0.6438413858413696,0.0002670830290298909,,,,,,,,,,,,,,,,,,,,,,,,
21,1.9853092430000001,1779094102.779397,22,0.641349196434021,0.6410751342773438,0.00027406320441514254,,,,,,,,,,,,,,,,,,,,,,,,
22,2.049940828,1779094102.8440375,23,0.638122022151947,0.6378402709960938,0.0002817437634803355,,,,,,,,,,,,,,,,,,,,,,,,
23,2.116234383,1779094102.9102976,24,0.6341849565505981,0.6338949203491211,0.00029006446129642427,,,,,,,,,,,,,,,,,,,,,,,,
24,2.18179948,1779094102.9759107,25,0.6310107111930847,0.6307125091552734,0.00029822238138876855,,,,,,,,,,,,,,,,,,,,,,,,
25,2.250981994,1779094103.0450704,26,0.627701461315155,0.6273952126502991,0.0003062566393055022,,,,,,,,,,,,,,,,,,,,,,,,
26,2.316682367,1779094103.1107676,27,0.6243820786476135,0.6240673661231995,0.0003146899398416281,,,,,,,,,,,,,,,,,,,,,,,,
27,2.396232615,1779094103.1902847,28,0.6205238103866577,0.6202001571655273,0.00032363622449338436,,,,,,,,,,,,,,,,,,,,,,,,
28,2.455774345,1779094103.250105,29,0.6167112588882446,0.6163778305053711,0.00033343982067890465,,,,,,,,,,,,,,,,,,,,,,,,
29,2.512394518,1779094103.3067565,30,0.6114476323127747,0.6111043691635132,0.00034328599576838315,,,,,,,,,,,,,,,,,,,,,,,,
30,2.566747137,1779094103.3607874,31,0.6086154580116272,0.6082621812820435,0.00035328755620867014,,,,,,,,,,,,,,,,,,,,,,,,
31,2.6217721689999998,1779094103.4158225,32,0.6032358407974243,0.602872371673584,0.00036349042784422636,,,,,,,,,,,,,,,,,,,,,,,,
32,2.676833251,1779094103.4708705,33,0.5990445017814636,0.5986696481704712,0.000374851020751521,,,,,,,,,,,,,,,,,,,,,,,,
33,2.731146618,1779094103.5252733,34,0.59578537940979,0.5954002737998962,0.00038508602301590145,,,,,,,,,,,,,,,,,,,,,,,,
34,2.784765993,1779094103.578809,35,0.5905800461769104,0.5901831388473511,0.00039689248660579324,,,,,,,,,,,,,,,,,,,,,,,,
35,2.839627533,1779094103.63374,36,0.5845410227775574,0.5841324329376221,0.0004085719119757414,,,,,,,,,,,,,,,,,,,,,,,,
36,2.893251049,1779094103.6872673,37,0.5802446007728577,0.5798234343528748,0.0004211729974485934,,,,,,,,,,,,,,,,,,,,,,,,
37,2.949270362,1779094103.7432384,38,0.575791597366333,0.5753588676452637,0.00043270926107652485,,,,,,,,,,,,,,,,,,,,,,,,
38,3.003579117,1779094103.7976105,39,0.5705819129943848,0.5701360702514648,0.00044586227159015834,,,,,,,,,,,,,,,,,,,,,,,,
39,3.057683969,1779094103.8517296,40,0.5642068386077881,0.5637478232383728,0.00045903067803010345,,,,,,,,,,,,,,,,,,,,,,,,
