_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/map@1,test/map@5,test/map@10,test/map@20,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20
0,0.61590879,1779096523.8875928,1,0.6822884678840637,0.6821163892745972,0.00017208194185514003,,,,,,,,,,,,,,,,,,,,,,,,
1,0.680126305,1779096523.952236,2,0.6811409592628479,0.6809660196304321,0.00017495849169790745,,,,,,,,,,,,,,,,,,,,,,,,
2,0.746022132,1779096524.0179615,3,0.6798954010009766,0.6797172427177429,0.00017813766316976398,,,,,,,,,,,,,,,,,,,,,,,,
3,0.811486266,1779096524.083565,4,0.6786629557609558,0.6784815788269043,0.00018136133439838886,,,,,,,,,,,,,,,,,,,,,,,,
4,0.875877094,1779096524.1479907,5,0.6773679256439209,0.6771830916404724,0.0001848292740760371,,,,,,,,,,,,,,,,,,,,,,,,
5,0.939833398,1779096524.2119856,6,0.6758624315261841,0.6756740808486938,0.0001883379154605791,,,,,,,,,,,,,,,,,,,,,,,,
6,1.008689955,1779096524.2805936,7,0.6746699810028076,0.6744779944419861,0.00019200294627808034,,,,,,,,,,,,,,,,,,,,,,,,
7,1.074156956,1779096524.3462274,8,0.6726841330528259,0.6724881529808044,0.00019599184452090412,,,,,,,,,,,,,,,,,,,,,,,,
8,1.1379060189999999,1779096524.4100623,9,0.6714357137680054,0.6712356209754944,0.00020009589206892997,,,,,,,,,,,,,,,,,,,,,,,,
9,1.202187751,1779096524.474307,10,0.6693167090415955,0.6691121459007263,0.0002045676374109462,,,,,,,,,,,,,,,,,,,,,,,,
10,1.269652526,1779096524.5416741,11,0.6675638556480408,0.6673546433448792,0.00020921429677400738,,,,,,,,,,,,,,,,,,,,,,,,
11,1.336533215,1779096524.608705,12,0.6659729480743408,0.6657588481903076,0.00021407028543762863,,,,,,,,,,,,,,,,,,,,,,,,
12,1.4025219309999999,1779096524.6746018,13,0.6637914776802063,0.6635725498199463,0.00021894191741012037,,,,,,,,,,,,,,,,,,,,,,,,
13,1.4711143500000001,1779096524.743308,14,0.6615107655525208,0.661286473274231,0.00022428545344155282,,,,,,,,,,,,,,,,,,,,,,,,
