_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
0,0.77438376,1778817475.469429,1,0.6393285393714905,0.6393113732337952,1.717235500109382e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.856775498,1778817475.5518546,2,0.6325775980949402,0.632560133934021,1.745906592987012e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.933853543,1778817475.6290066,3,0.6266698241233826,0.6266520619392395,1.7753482097759843e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.01849805,1778817475.7138522,4,0.619742214679718,0.6197241544723511,1.8059994545183145e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.094668946,1778817475.7901056,5,0.6114916205406189,0.6114732027053833,1.8397715393803082e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.17606831,1778817475.8716946,6,0.6039241552352905,0.603905439376831,1.8739681763690896e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.2495658920000001,1778817475.9447224,7,0.595405101776123,0.5953859686851501,1.9134879039484076e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.32296199,1778817476.0181973,8,0.5878564119338989,0.5878369212150574,1.949745274032466e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.3976668700000001,1778817476.092987,9,0.5786653757095337,0.5786454677581787,1.9932527720811777e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.471895856,1778817476.167108,10,0.5694172978401184,0.56939697265625,2.0351984858280048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.556677875,1778817476.2522695,11,0.5619075298309326,0.561886727809906,2.080186823150143e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.640449051,1778817476.335803,12,0.5506856441497803,0.5506643652915955,2.1274974642437883e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.717945887,1778817476.413169,13,0.5394755601882935,0.5394538044929504,2.1756502974312752e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.804773456,1778817476.500222,14,0.5283864736557007,0.5283641815185547,2.2277115931501612e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.882725734,1778817476.5782287,15,0.518517255783081,0.5184944272041321,2.281564229633659e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.963882215,1778817476.6589427,16,0.5066916346549988,0.5066682696342468,2.338088415854145e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.04000052,1778817476.7353086,17,0.49721601605415344,0.49719205498695374,2.3953343770699576e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.116423566,1778817476.8116844,18,0.4806840419769287,0.4806594252586365,2.4604645659564994e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.1945654,1778817476.890032,19,0.4743587076663971,0.4743335247039795,2.5195093257934786e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.270595606,1778817476.9658308,20,0.4589168429374695,0.45889097452163696,2.58539330388885e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12.267041539,1778817486.9617383,20,,,,0.0012959714513272047,0.004665040411055088,0.008445949293673038,0.0201738104224205,0.05212334170937538,0.009041591547429562,0.003978300839662552,0.0037974687293171883,0.0042495462112128735,0.003761299652978778,0.009041591547429562,0.0056207142770290375,0.0067912861704826355,0.010851920582354069,0.019368022680282593,0.0012959714513272047,0.0022281163837760687,0.0027772653847932816,0.003615418216213584,0.004657271318137646,0.009041591547429562,0.011934900656342506,0.014473002403974533,0.01756558194756508,0.020682234317064285,0.009041591547429562,0.01989150047302246,0.037974681705236435,0.084990955889225,0.18806509673595428
21,20.31951603,1778817495.014809,21,0.44703882932662964,0.4470123052597046,2.6529811293585226e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
