run_name,run_id,state,_runtime,_step,_timestamp,_wandb,best_epoch,best_ndcg@K0,best_recall@K0,epoch,test/hit_ratio@1,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@5,test/hit_ratio@50,test/map@1,test/map@10,test/map@20,test/map@5,test/map@50,test/mrr@1,test/mrr@10,test/mrr@20,test/mrr@5,test/mrr@50,test/ndcg@1,test/ndcg@10,test/ndcg@20,test/ndcg@5,test/ndcg@50,test/precision@1,test/precision@10,test/precision@20,test/precision@5,test/precision@50,test/recall@1,test/recall@10,test/recall@20,test/recall@5,test/recall@50,train/loss,train/mf_loss,train/reg_loss
none_layers4_dim512_lr0.001_reg1e-05,vxz7nt3u,finished,301,524,1778816126.0503364,{'runtime': 301},180,0.016274863854050636,0.006358480080962181,500,0.016274863854050636,0.07233273237943649,0.14828209578990936,0.04701627418398857,0.32368898391723633,0.005091286730021238,0.008574645966291428,0.010432413779199123,0.007587803527712822,0.012195740826427937,0.016274863854050636,0.029599012807011604,0.03472032770514488,0.02619047462940216,0.04009043425321579,0.016274863854050636,0.01597457192838192,0.02414674311876297,0.014083709567785265,0.03779173642396927,0.016274863854050636,0.007233269978314638,0.007414101157337427,0.00940325390547514,0.0064737750217318535,0.005091286730021238,0.01964539848268032,0.04561266303062439,0.01275661215186119,0.09400277584791183,0.009532945230603218,0.008868100121617317,0.0006648448761552572
img_only_layers4_dim512_lr0.001_reg1e-05,kwze947d,finished,344,524,1778817038.622528,{'runtime': 344},200,0.009041591547429562,0.004047850612550974,500,0.0144665464758873,0.08137432485818863,0.14828209578990936,0.050632912665605545,0.3128390610218048,0.0037242844700813298,0.00823424756526947,0.009660175070166588,0.00678546167910099,0.01149829849600792,0.0144665464758873,0.029942013323307037,0.034588269889354706,0.026250751689076424,0.03968779742717743,0.0144665464758873,0.016821378841996193,0.023049352690577507,0.013964458368718624,0.03680768236517906,0.0144665464758873,0.008137430064380169,0.0074141002260148525,0.010126580484211445,0.006256776861846447,0.0037242844700813298,0.02387850545346737,0.04280233755707741,0.01251761056482792,0.09347526729106904,0.013271876610815523,0.012663865461945534,0.0006080109160393476
multimodal_layers4_dim512_lr0.001_reg1e-05,ar2c63nd,finished,365,524,1778817459.3100684,{'runtime': 365},200,0.010849909856915474,0.00495200976729393,500,0.010849909856915474,0.09041590988636015,0.13924050331115723,0.050632912665605545,0.2983725070953369,0.0035255684051662683,0.008451692759990692,0.00932489801198244,0.00644330121576786,0.011188779957592487,0.010849909856915474,0.02970593422651291,0.03299820050597191,0.024472571909427643,0.037734076380729675,0.010849909856915474,0.01765715517103672,0.021739961579442024,0.013435183092951776,0.035838253796100616,0.010849909856915474,0.009041587822139263,0.006962020881474018,0.010126580484211445,0.00596744567155838,0.0035255684051662683,0.025586185976862907,0.03817304223775864,0.0121617428958416,0.09240667521953584,0.013496169820427896,0.012889908626675606,0.0006062616012059152
tfidf_layers4_dim512_lr0.001_reg1e-05,ebgrpi1z,finished,299,524,1778817774.1009555,{'runtime': 299},60,0.012658228166401386,0.002501517068594694,500,0.007233273237943649,0.03254972770810127,0.07052440941333771,0.01989150047302246,0.19168174266815183,0.00122642086353153,0.0029301925096660852,0.0035099417436867952,0.002313606208190322,0.004905172623693943,0.007233273237943649,0.012663248926401138,0.014926310628652573,0.010970463044941424,0.01844766177237034,0.007233273237943649,0.0066309659741818905,0.009866362437605858,0.005488866940140724,0.02103605307638645,0.007233273237943649,0.003254973329603672,0.003526219166815281,0.003978300839662552,0.0038336324505507946,0.00122642086353153,0.00924611371010542,0.019010722637176514,0.004966427106410265,0.06268830597400665,0.002704189857468009,0.0025275368243455887,0.00017665309133008122
